PERMNO,date,TICKER,PRC
10107,20060703,MSFT,23.70000
10107,20060705,MSFT,23.35000
10107,20060706,MSFT,23.48000
10107,20060707,MSFT,23.30000
10107,20060710,MSFT,23.50000
10107,20060711,MSFT,23.10000
10107,20060712,MSFT,22.64000
10107,20060713,MSFT,22.26000
10107,20060714,MSFT,22.29000
10107,20060717,MSFT,22.48000
10107,20060718,MSFT,22.74000
10107,20060719,MSFT,23.40000
10107,20060720,MSFT,22.85000
10107,20060721,MSFT,23.87000
10107,20060724,MSFT,24.00000
10107,20060725,MSFT,24.22000
10107,20060726,MSFT,24.37000
10107,20060727,MSFT,23.87000
10107,20060728,MSFT,24.25000
10107,20060731,MSFT,24.06000
10107,20060801,MSFT,23.99000
10107,20060802,MSFT,24.30000
10107,20060803,MSFT,24.21000
10107,20060804,MSFT,24.29000
10107,20060807,MSFT,24.22000
10107,20060808,MSFT,24.34000
10107,20060809,MSFT,24.44000
10107,20060810,MSFT,24.46000
10107,20060811,MSFT,24.43000
10107,20060814,MSFT,24.53000
10107,20060815,MSFT,24.62000
10107,20060816,MSFT,24.70000
10107,20060817,MSFT,24.70000
10107,20060818,MSFT,25.79000
10107,20060821,MSFT,26.12000
10107,20060822,MSFT,25.62000
10107,20060823,MSFT,25.67000
10107,20060824,MSFT,25.74000
10107,20060825,MSFT,25.85000
10107,20060828,MSFT,25.95000
10107,20060829,MSFT,25.84000
10107,20060830,MSFT,25.80000
10107,20060831,MSFT,25.70000
10107,20060901,MSFT,25.84000
10107,20060905,MSFT,25.61000
10107,20060906,MSFT,25.61000
10107,20060907,MSFT,25.43000
10107,20060908,MSFT,25.60000
10107,20060911,MSFT,25.91000
10107,20060912,MSFT,25.93000
10107,20060913,MSFT,25.98000
10107,20060914,MSFT,26.33000
10107,20060915,MSFT,26.85000
10107,20060918,MSFT,26.79000
10107,20060919,MSFT,26.86000
10107,20060920,MSFT,27.18000
10107,20060921,MSFT,26.90000
10107,20060922,MSFT,26.66000
10107,20060925,MSFT,26.95000
10107,20060926,MSFT,27.20000
10107,20060927,MSFT,27.44000
10107,20060928,MSFT,27.40000
10107,20060929,MSFT,27.35000
10107,20061002,MSFT,27.36000
10107,20061003,MSFT,27.37000
10107,20061004,MSFT,27.94000
10107,20061005,MSFT,27.92000
10107,20061006,MSFT,27.87000
10107,20061009,MSFT,27.72000
10107,20061010,MSFT,27.69000
10107,20061011,MSFT,27.54000
10107,20061012,MSFT,28.22000
10107,20061013,MSFT,28.37000
10107,20061016,MSFT,28.45000
10107,20061017,MSFT,28.44000
10107,20061018,MSFT,28.52000
10107,20061019,MSFT,28.29000
10107,20061020,MSFT,28.43000
10107,20061023,MSFT,28.45000
10107,20061024,MSFT,28.28000
10107,20061025,MSFT,28.31000
10107,20061026,MSFT,28.35000
10107,20061027,MSFT,28.34000
10107,20061030,MSFT,28.53000
10107,20061031,MSFT,28.71000
10107,20061101,MSFT,28.81000
10107,20061102,MSFT,28.77000
10107,20061103,MSFT,28.73000
10107,20061106,MSFT,28.84000
10107,20061107,MSFT,28.95000
10107,20061108,MSFT,28.98000
10107,20061109,MSFT,29.26000
10107,20061110,MSFT,29.24000
10107,20061113,MSFT,29.35000
10107,20061114,MSFT,29.22850
10107,20061115,MSFT,29.12000
10107,20061116,MSFT,29.47000
10107,20061117,MSFT,29.40000
10107,20061120,MSFT,29.89000
10107,20061121,MSFT,29.92000
10107,20061122,MSFT,29.92000
10107,20061124,MSFT,29.76000
10107,20061127,MSFT,29.48000
10107,20061128,MSFT,29.39000
10107,20061129,MSFT,29.57000
10107,20061130,MSFT,29.36000
10107,20061201,MSFT,29.12000
10107,20061204,MSFT,29.33000
10107,20061205,MSFT,29.13000
10107,20061206,MSFT,28.99000
10107,20061207,MSFT,28.85000
10107,20061208,MSFT,29.40000
10107,20061211,MSFT,29.54000
10107,20061212,MSFT,29.43000
10107,20061213,MSFT,29.55000
10107,20061214,MSFT,30.07000
10107,20061215,MSFT,30.19000
10107,20061218,MSFT,29.89000
10107,20061219,MSFT,29.99000
10107,20061220,MSFT,30.09000
10107,20061221,MSFT,29.98000
10107,20061222,MSFT,29.64000
10107,20061226,MSFT,29.99000
10107,20061227,MSFT,30.02000
10107,20061228,MSFT,29.98000
10107,20061229,MSFT,29.86000
10107,20070103,MSFT,29.86000
10107,20070104,MSFT,29.81000
10107,20070105,MSFT,29.64000
10107,20070108,MSFT,29.93000
10107,20070109,MSFT,29.96000
10107,20070110,MSFT,29.66000
10107,20070111,MSFT,30.70000
10107,20070112,MSFT,31.21000
10107,20070116,MSFT,31.16000
10107,20070117,MSFT,31.10000
10107,20070118,MSFT,31.00000
10107,20070119,MSFT,31.11000
10107,20070122,MSFT,30.72000
10107,20070123,MSFT,30.74000
10107,20070124,MSFT,31.09000
10107,20070125,MSFT,30.45000
10107,20070126,MSFT,30.60000
10107,20070129,MSFT,30.53000
10107,20070130,MSFT,30.48000
10107,20070131,MSFT,30.86000
10107,20070201,MSFT,30.56000
10107,20070202,MSFT,30.19000
10107,20070205,MSFT,29.61000
10107,20070206,MSFT,29.51000
10107,20070207,MSFT,29.37000
10107,20070208,MSFT,29.26000
10107,20070209,MSFT,28.98000
10107,20070212,MSFT,28.94000
10107,20070213,MSFT,29.03000
10107,20070214,MSFT,29.40000
10107,20070215,MSFT,29.46000
10107,20070216,MSFT,28.74000
10107,20070220,MSFT,28.83000
10107,20070221,MSFT,29.35000
10107,20070222,MSFT,29.39000
10107,20070223,MSFT,28.90000
10107,20070226,MSFT,29.07000
10107,20070227,MSFT,27.87000
10107,20070228,MSFT,28.17000
10107,20070301,MSFT,28.09000
10107,20070302,MSFT,27.76000
10107,20070305,MSFT,27.54990
10107,20070306,MSFT,27.83000
10107,20070307,MSFT,27.61000
10107,20070308,MSFT,27.32000
10107,20070309,MSFT,27.29000
10107,20070312,MSFT,27.44000
10107,20070313,MSFT,26.72000
10107,20070314,MSFT,27.40000
10107,20070315,MSFT,27.28000
10107,20070316,MSFT,27.33000
10107,20070319,MSFT,27.83000
10107,20070320,MSFT,27.84000
10107,20070321,MSFT,28.52000
10107,20070322,MSFT,28.27000
10107,20070323,MSFT,28.02000
10107,20070326,MSFT,28.22000
10107,20070327,MSFT,27.72000
10107,20070328,MSFT,27.64000
10107,20070329,MSFT,27.75000
10107,20070330,MSFT,27.87000
10107,20070402,MSFT,27.74000
10107,20070403,MSFT,27.87000
10107,20070404,MSFT,28.50000
10107,20070405,MSFT,28.55000
10107,20070409,MSFT,28.57000
10107,20070410,MSFT,28.40000
10107,20070411,MSFT,28.11000
10107,20070412,MSFT,28.54000
10107,20070413,MSFT,28.61000
10107,20070416,MSFT,28.73000
10107,20070417,MSFT,28.85000
10107,20070418,MSFT,28.60000
10107,20070419,MSFT,28.69000
10107,20070420,MSFT,29.02000
10107,20070423,MSFT,28.78000
10107,20070424,MSFT,28.79000
10107,20070425,MSFT,28.99000
10107,20070426,MSFT,29.10000
10107,20070427,MSFT,30.12000
10107,20070430,MSFT,29.94000
10107,20070501,MSFT,30.40000
10107,20070502,MSFT,30.61000
10107,20070503,MSFT,30.97000
10107,20070504,MSFT,30.56000
10107,20070507,MSFT,30.71000
10107,20070508,MSFT,30.75000
10107,20070509,MSFT,30.77990
10107,20070510,MSFT,30.58000
10107,20070511,MSFT,30.89000
10107,20070514,MSFT,30.97000
10107,20070515,MSFT,30.90000
10107,20070516,MSFT,31.07000
10107,20070517,MSFT,30.98000
10107,20070518,MSFT,30.83000
10107,20070521,MSFT,31.05000
10107,20070522,MSFT,30.69000
10107,20070523,MSFT,30.58000
10107,20070524,MSFT,30.17000
10107,20070525,MSFT,30.48000
10107,20070529,MSFT,30.79000
10107,20070530,MSFT,31.11000
10107,20070531,MSFT,30.69010
10107,20070601,MSFT,30.59000
10107,20070604,MSFT,30.71500
10107,20070605,MSFT,30.58000
10107,20070606,MSFT,30.29000
10107,20070607,MSFT,29.62000
10107,20070608,MSFT,30.05000
10107,20070611,MSFT,30.02000
10107,20070612,MSFT,29.85000
10107,20070613,MSFT,30.39000
10107,20070614,MSFT,30.52000
10107,20070615,MSFT,30.49000
10107,20070618,MSFT,30.51000
10107,20070619,MSFT,30.46000
10107,20070620,MSFT,30.01000
10107,20070621,MSFT,30.22000
10107,20070622,MSFT,29.49000
10107,20070625,MSFT,29.49000
10107,20070626,MSFT,29.52000
10107,20070627,MSFT,29.87000
10107,20070628,MSFT,29.83000
10107,20070629,MSFT,29.47000
10107,20070702,MSFT,29.74000
10107,20070703,MSFT,30.02000
10107,20070705,MSFT,29.99000
10107,20070706,MSFT,29.97000
10107,20070709,MSFT,29.87000
10107,20070710,MSFT,29.33000
10107,20070711,MSFT,29.49000
10107,20070712,MSFT,30.07000
10107,20070713,MSFT,29.82000
10107,20070716,MSFT,30.03000
10107,20070717,MSFT,30.77990
10107,20070718,MSFT,30.92000
10107,20070719,MSFT,31.51000
10107,20070720,MSFT,31.16000
10107,20070723,MSFT,31.19000
10107,20070724,MSFT,30.80000
10107,20070725,MSFT,30.71000
10107,20070726,MSFT,29.98000
10107,20070727,MSFT,29.39010
10107,20070730,MSFT,29.40000
10107,20070731,MSFT,28.99000
10107,20070801,MSFT,29.30000
10107,20070802,MSFT,29.52000
10107,20070803,MSFT,28.96010
10107,20070806,MSFT,29.54000
10107,20070807,MSFT,29.55000
10107,20070808,MSFT,30.00000
10107,20070809,MSFT,29.30000
10107,20070810,MSFT,28.71000
10107,20070813,MSFT,28.63000
10107,20070814,MSFT,28.27000
10107,20070815,MSFT,28.10000
10107,20070816,MSFT,27.81000
10107,20070817,MSFT,28.25000
10107,20070820,MSFT,28.26000
10107,20070821,MSFT,28.07000
10107,20070822,MSFT,28.22000
10107,20070823,MSFT,28.30000
10107,20070824,MSFT,28.81000
10107,20070827,MSFT,28.49000
10107,20070828,MSFT,27.93000
10107,20070829,MSFT,28.59000
10107,20070830,MSFT,28.45000
10107,20070831,MSFT,28.73000
10107,20070904,MSFT,28.81000
10107,20070905,MSFT,28.48000
10107,20070906,MSFT,28.91000
10107,20070907,MSFT,28.44000
10107,20070910,MSFT,28.48000
10107,20070911,MSFT,28.93000
10107,20070912,MSFT,28.93000
10107,20070913,MSFT,29.16000
10107,20070914,MSFT,29.04000
10107,20070917,MSFT,28.72500
10107,20070918,MSFT,28.93000
10107,20070919,MSFT,28.67000
10107,20070920,MSFT,28.42010
10107,20070921,MSFT,28.64990
10107,20070924,MSFT,29.08000
10107,20070925,MSFT,29.55990
10107,20070926,MSFT,29.50000
