PERMNO,date,PRC
12490,20071204,106.63000
12490,20071205,108.16000
12490,20071206,109.70000
12490,20071207,108.86000
12490,20071210,109.39000
12490,20071211,106.99000
12490,20071212,108.47000
12490,20071213,108.18000
12490,20071214,105.77000
12490,20071217,104.53000
12490,20071218,106.31000
12490,20071219,107.14000
12490,20071220,108.84000
12490,20071221,111.05000
12490,20071224,111.65000
12490,20071226,111.56000
12490,20071227,109.60000
12490,20071228,110.09000
12490,20071231,108.10000
12490,20080102,104.69000
12490,20080103,104.90000
12490,20080104,101.13000
12490,20080107,100.05000
12490,20080108,97.59000
12490,20080109,98.31000
12490,20080110,99.92000
12490,20080111,97.67000
12490,20080114,102.93000
12490,20080115,101.83000
12490,20080116,101.63000
12490,20080117,101.10000
12490,20080118,103.40000
12490,20080122,101.22000
12490,20080123,106.10000
12490,20080124,106.91000
12490,20080125,104.52000
12490,20080128,104.98000
12490,20080129,106.10000
12490,20080130,105.65000
12490,20080131,107.11000
12490,20080201,109.08000
12490,20080204,107.93000
12490,20080205,105.02000
12490,20080206,103.59000
12490,20080207,102.34000
12490,20080208,103.27000
12490,20080211,105.14000
12490,20080212,106.53000
12490,20080213,108.42000
12490,20080214,106.13000
12490,20080215,106.16000
12490,20080219,105.00000
12490,20080220,107.85000
12490,20080221,106.93000
12490,20080222,108.07000
12490,20080225,110.08000
12490,20080226,114.38000
12490,20080227,116.46000
12490,20080228,115.24000
12490,20080229,113.86000
12490,20080303,114.23000
12490,20080304,115.71000
12490,20080305,115.39000
12490,20080306,112.52000
12490,20080307,113.94000
12490,20080310,114.01000
12490,20080311,116.49000
12490,20080312,117.07000
12490,20080313,115.91000
12490,20080314,115.23010
12490,20080317,115.55000
12490,20080318,118.41000
12490,20080319,116.94000
12490,20080320,118.33000
12490,20080324,119.06000
12490,20080325,117.97000
12490,20080326,116.91000
12490,20080327,115.52000
12490,20080328,114.57000
12490,20080331,115.14000
12490,20080401,116.49000
12490,20080402,114.81000
12490,20080403,116.02000
12490,20080404,115.76000
12490,20080407,116.31000
12490,20080408,116.27000
12490,20080409,116.77000
12490,20080410,118.78000
12490,20080411,116.00000
12490,20080414,117.28000
12490,20080415,117.17000
12490,20080416,120.47000
12490,20080417,123.08000
12490,20080418,124.40000
12490,20080421,124.35000
12490,20080422,123.67000
12490,20080423,123.60000
12490,20080424,124.19000
12490,20080425,123.08000
12490,20080428,121.69000
12490,20080429,122.85000
12490,20080430,120.70000
12490,20080501,123.61000
12490,20080502,123.18000
12490,20080505,122.03000
12490,20080506,122.82000
12490,20080507,124.14000
12490,20080508,124.92000
12490,20080509,124.06000
12490,20080512,125.24000
12490,20080513,126.58000
12490,20080514,127.52000
12490,20080515,128.46001
12490,20080516,127.82000
12490,20080519,126.49000
12490,20080520,125.18000
12490,20080521,123.62000
12490,20080522,124.70000
12490,20080523,124.20000
12490,20080527,127.32000
12490,20080528,129.53999
12490,20080529,129.71001
12490,20080530,129.42999
12490,20080602,127.36000
12490,20080603,127.84000
12490,20080604,127.55000
12490,20080605,128.47000
12490,20080606,124.94000
12490,20080609,125.86000
12490,20080610,125.94000
12490,20080611,123.25000
12490,20080612,123.85000
12490,20080613,126.15000
12490,20080616,126.71000
12490,20080617,125.10000
12490,20080618,124.16000
12490,20080619,125.02000
12490,20080620,122.74000
12490,20080623,123.46000
12490,20080624,123.46000
12490,20080625,124.58000
12490,20080626,121.13000
12490,20080627,120.05000
12490,20080630,118.53000
12490,20080701,119.27000
12490,20080702,119.10000
12490,20080703,119.54000
12490,20080707,121.50000
12490,20080708,123.88000
12490,20080709,120.40000
12490,20080710,123.18000
12490,20080711,122.12000
12490,20080714,121.54000
12490,20080715,123.20000
12490,20080716,125.94000
12490,20080717,126.52000
12490,20080718,129.89000
12490,20080721,128.66000
12490,20080722,130.00000
12490,20080723,129.52000
12490,20080724,130.00000
12490,20080725,128.53000
12490,20080728,126.25000
12490,20080729,127.66000
12490,20080730,128.86000
12490,20080731,127.98000
12490,20080801,126.64000
12490,20080804,127.56000
12490,20080805,128.87000
12490,20080806,129.16000
12490,20080807,129.05000
12490,20080808,128.81000
12490,20080811,126.60000
12490,20080812,125.22000
12490,20080813,125.80000
12490,20080814,126.94000
12490,20080815,126.36000
12490,20080818,124.59000
12490,20080819,122.56000
12490,20080820,122.51000
12490,20080821,122.99000
12490,20080822,124.93000
12490,20080825,122.86000
12490,20080826,122.50000
12490,20080827,123.38000
12490,20080828,124.58000
12490,20080829,121.73000
12490,20080902,118.41000
12490,20080903,118.34000
12490,20080904,115.00000
12490,20080905,114.33000
12490,20080908,117.29000
12490,20080909,115.04000
12490,20080910,118.04000
12490,20080911,119.20000
12490,20080912,118.97000
12490,20080915,115.19000
12490,20080916,116.05000
12490,20080917,111.47000
12490,20080918,115.12000
12490,20080919,118.85000
12490,20080922,116.21000
12490,20080923,115.36000
12490,20080924,116.46000
12490,20080925,120.11000
12490,20080926,119.42000
12490,20080929,114.46000
12490,20080930,116.96000
12490,20081001,110.13000
12490,20081002,104.74000
12490,20081003,103.44000
12490,20081006,100.62000
12490,20081007,95.65000
12490,20081008,90.55000
12490,20081009,89.00000
12490,20081010,87.75000
12490,20081013,92.21000
12490,20081014,93.60000
12490,20081015,88.29000
12490,20081016,91.52000
12490,20081017,90.78000
12490,20081020,92.51000
12490,20081021,88.86000
12490,20081022,83.60000
12490,20081023,84.35000
12490,20081024,82.07000
12490,20081027,79.66000
12490,20081028,87.28000
12490,20081029,88.20000
12490,20081030,90.69000
12490,20081031,92.97000
12490,20081103,92.68000
12490,20081104,93.40000
12490,20081105,89.94000
12490,20081106,85.15000
12490,20081107,86.27000
12490,20081110,83.87000
12490,20081111,82.74000
12490,20081112,79.74000
12490,20081113,84.21000
12490,20081114,80.33000
12490,20081117,77.48000
12490,20081118,80.08000
12490,20081119,75.97000
12490,20081120,71.74000
12490,20081121,74.88000
12490,20081124,79.89000
12490,20081125,80.65000
12490,20081126,81.67000
12490,20081128,81.60000
12490,20081201,76.90000
12490,20081202,79.84000
12490,20081203,80.67000
12490,20081204,77.44000
12490,20081205,80.59000
12490,20081208,84.86000
12490,20081209,82.69000
12490,20081210,82.86000
12490,20081211,80.58000
12490,20081212,82.20000
12490,20081215,82.77000
12490,20081216,86.40000
12490,20081217,85.84000
12490,20081218,84.00000
12490,20081219,83.52000
12490,20081222,81.99000
12490,20081223,80.60000
12490,20081224,80.52000
12490,20081226,81.33000
12490,20081229,81.25000
12490,20081230,83.55000
12490,20081231,84.16000
12490,20090102,87.37000
12490,20090105,86.82000
12490,20090106,89.23000
12490,20090107,87.79000
12490,20090108,87.18000
12490,20090109,84.70000
12490,20090112,85.71000
12490,20090113,85.34000
12490,20090114,83.19000
12490,20090115,84.12000
12490,20090116,84.92000
12490,20090120,81.98000
12490,20090121,91.42000
12490,20090122,90.07000
12490,20090123,89.49000
12490,20090126,91.60000
12490,20090127,91.66000
12490,20090128,94.82000
12490,20090129,92.51000
12490,20090130,91.65000
12490,20090202,90.93000
12490,20090203,93.48000
12490,20090204,92.83000
12490,20090205,92.41000
12490,20090206,96.14000
12490,20090209,96.82000
12490,20090210,93.27000
12490,20090211,95.16000
12490,20090212,95.07000
12490,20090213,93.84000
12490,20090217,90.67000
12490,20090218,91.51000
12490,20090219,88.93000
12490,20090220,88.79000
12490,20090223,84.37000
12490,20090224,86.40000
12490,20090225,85.90000
12490,20090226,88.97000
12490,20090227,92.03000
12490,20090302,89.05000
12490,20090303,87.77000
12490,20090304,89.49000
12490,20090305,87.48000
12490,20090306,85.81000
12490,20090309,83.48000
12490,20090310,87.25000
12490,20090311,88.62000
12490,20090312,90.40000
12490,20090313,90.36000
12490,20090316,91.22000
12490,20090317,92.91000
