PERMNO,date,TICKER,PRC
91233,20060703,MA,47.30000
91233,20060705,MA,47.60000
91233,20060706,MA,46.80000
91233,20060707,MA,46.12000
91233,20060710,MA,46.49000
91233,20060711,MA,46.35000
91233,20060712,MA,45.55000
91233,20060713,MA,44.72000
91233,20060714,MA,43.95000
91233,20060717,MA,43.99000
91233,20060718,MA,43.90000
91233,20060719,MA,45.28000
91233,20060720,MA,45.55000
91233,20060721,MA,45.28000
91233,20060724,MA,45.00000
91233,20060725,MA,46.08000
91233,20060726,MA,46.68000
91233,20060727,MA,46.52000
91233,20060728,MA,46.30000
91233,20060731,MA,45.87000
91233,20060801,MA,45.00000
91233,20060802,MA,50.02000
91233,20060803,MA,49.99000
91233,20060804,MA,50.05000
91233,20060807,MA,51.10000
91233,20060808,MA,52.57000
91233,20060809,MA,52.85000
91233,20060810,MA,53.56000
91233,20060811,MA,53.68000
91233,20060814,MA,54.23000
91233,20060815,MA,54.49000
91233,20060816,MA,54.27000
91233,20060817,MA,53.46000
91233,20060818,MA,53.45000
91233,20060821,MA,54.26000
91233,20060822,MA,55.23000
91233,20060823,MA,54.60000
91233,20060824,MA,55.65000
91233,20060825,MA,55.00000
91233,20060828,MA,55.02000
91233,20060829,MA,55.35000
91233,20060830,MA,55.25000
91233,20060831,MA,55.90000
91233,20060901,MA,56.55000
91233,20060905,MA,56.85000
91233,20060906,MA,58.88000
91233,20060907,MA,60.12000
91233,20060908,MA,59.75000
91233,20060911,MA,61.87000
91233,20060912,MA,62.10000
91233,20060913,MA,61.35000
91233,20060914,MA,62.79000
91233,20060915,MA,64.97000
91233,20060918,MA,65.12000
91233,20060919,MA,64.84000
91233,20060920,MA,66.55000
91233,20060921,MA,69.05000
91233,20060922,MA,65.93000
91233,20060925,MA,64.40000
91233,20060926,MA,66.00000
91233,20060927,MA,67.84000
91233,20060928,MA,68.65000
91233,20060929,MA,70.35000
91233,20061002,MA,69.96000
91233,20061003,MA,69.68000
91233,20061004,MA,69.62000
91233,20061005,MA,72.59000
91233,20061006,MA,75.15000
91233,20061009,MA,72.80000
91233,20061010,MA,71.91000
91233,20061011,MA,69.50000
91233,20061012,MA,70.41000
91233,20061013,MA,70.09000
91233,20061016,MA,71.30000
91233,20061017,MA,69.50000
91233,20061018,MA,70.45000
91233,20061019,MA,72.33000
91233,20061020,MA,71.22000
91233,20061023,MA,70.25000
91233,20061024,MA,71.20000
91233,20061025,MA,70.75000
91233,20061026,MA,72.20000
91233,20061027,MA,72.64000
91233,20061030,MA,72.54000
91233,20061031,MA,74.10000
91233,20061101,MA,85.07000
91233,20061102,MA,87.60000
91233,20061103,MA,89.51000
91233,20061106,MA,96.30000
91233,20061107,MA,92.50000
91233,20061108,MA,88.44000
91233,20061109,MA,88.20000
91233,20061110,MA,89.20000
91233,20061113,MA,96.55000
91233,20061114,MA,95.20000
91233,20061115,MA,95.30000
91233,20061116,MA,94.52000
91233,20061117,MA,94.79000
91233,20061120,MA,96.19000
91233,20061121,MA,100.60000
91233,20061122,MA,103.26000
91233,20061124,MA,105.48000
91233,20061127,MA,98.99000
91233,20061128,MA,100.75000
91233,20061129,MA,99.20000
91233,20061130,MA,101.75000
91233,20061201,MA,101.17000
91233,20061204,MA,100.08000
91233,20061205,MA,99.25000
91233,20061206,MA,99.13000
91233,20061207,MA,99.68000
91233,20061208,MA,100.10000
91233,20061211,MA,99.10000
91233,20061212,MA,95.75000
91233,20061213,MA,95.77000
91233,20061214,MA,95.60000
91233,20061215,MA,96.19000
91233,20061218,MA,92.90000
91233,20061219,MA,97.40000
91233,20061220,MA,97.51000
91233,20061221,MA,95.71000
91233,20061222,MA,96.35000
91233,20061226,MA,95.14000
91233,20061227,MA,99.37000
91233,20061228,MA,98.96000
91233,20061229,MA,98.49000
91233,20070103,MA,96.41000
91233,20070104,MA,101.14000
91233,20070105,MA,101.06000
91233,20070108,MA,101.08000
91233,20070109,MA,105.74000
91233,20070110,MA,104.74000
91233,20070111,MA,105.50000
91233,20070112,MA,105.25000
91233,20070116,MA,106.00000
91233,20070117,MA,109.04000
91233,20070118,MA,102.49000
91233,20070119,MA,105.03000
91233,20070122,MA,107.61000
91233,20070123,MA,108.41000
91233,20070124,MA,111.42000
91233,20070125,MA,107.87000
91233,20070126,MA,108.52000
91233,20070129,MA,109.74000
91233,20070130,MA,110.75000
91233,20070131,MA,111.55000
91233,20070201,MA,111.92000
91233,20070202,MA,110.96000
91233,20070205,MA,110.25000
91233,20070206,MA,110.55000
91233,20070207,MA,111.90000
91233,20070208,MA,114.74000
91233,20070209,MA,103.60000
91233,20070212,MA,102.08000
91233,20070213,MA,104.69000
91233,20070214,MA,108.02000
91233,20070215,MA,108.04000
91233,20070216,MA,108.32000
91233,20070220,MA,107.82000
91233,20070221,MA,107.29000
91233,20070222,MA,105.90000
91233,20070223,MA,104.57000
91233,20070226,MA,104.06000
91233,20070227,MA,103.00000
91233,20070228,MA,107.18000
91233,20070301,MA,106.29000
91233,20070302,MA,103.06000
91233,20070305,MA,100.94000
91233,20070306,MA,103.99000
91233,20070307,MA,99.72000
91233,20070308,MA,102.76000
91233,20070309,MA,102.36000
91233,20070312,MA,103.25000
91233,20070313,MA,103.86000
91233,20070314,MA,105.50000
91233,20070315,MA,105.26000
91233,20070316,MA,105.27000
91233,20070319,MA,106.89000
91233,20070320,MA,107.49000
91233,20070321,MA,110.70000
91233,20070322,MA,109.57000
91233,20070323,MA,109.86000
91233,20070326,MA,108.48000
91233,20070327,MA,107.25000
91233,20070328,MA,106.68000
91233,20070329,MA,107.19000
91233,20070330,MA,106.24000
91233,20070402,MA,106.96000
91233,20070403,MA,108.53000
91233,20070404,MA,107.21000
91233,20070405,MA,108.01000
91233,20070409,MA,108.34000
91233,20070410,MA,110.01000
91233,20070411,MA,109.81000
91233,20070412,MA,109.82000
91233,20070413,MA,109.40000
91233,20070416,MA,109.40000
91233,20070417,MA,109.65000
91233,20070418,MA,109.21000
91233,20070419,MA,109.33000
91233,20070420,MA,110.10000
91233,20070423,MA,110.04000
91233,20070424,MA,108.10000
91233,20070425,MA,109.34000
91233,20070426,MA,108.56000
